Book	Chapter	Start	End	Type	Label	Text	Notes
R	1	1	1	Individual		Paul	
R	1	3	3	Individual		David	
R	1	7	7	Location		Rome	
R	1	15	15	Location		Rome	
R	1	25	25	Exclamation		So they worshiped and served the things God created instead of the Creator himself, who is worthy of eternal praise!	
R	1	17	17	OldTestament		It is through faith that a righteous person has life.	
R	2	1	1	Exclamation		You may think you can condemn such people, but you are just as bad, and you have no excuse!	
R	2	6	6	OldTestament		He will judge everyone according to what they have done.	
R	2	24	24	OldTestament		The Gentiles blaspheme the name of God because of you.	
R	2	3	3	Question		Since you judge others for doing these things, why do you think you can avoid God's judgment when you do the same things?	
R	2	4	4	Question		Don't you see how wonderfully kind, tolerant, and patient God is with you?	
R	2	4	4	Question		Does this mean nothing to you?	
R	2	4	4	Question		Can't you see that his kindness is intended to turn you from your sin?	
R	2	21	21	Question		Well then, if you teach others, why don't you teach yourself?	
R	2	21	21	Question		You tell others not to steal, but do you steal?	
R	2	22	22	Question		You say it is wrong to commit adultery, but do you commit adultery?	
R	2	22	22	Question		You condemn idolatry, but do you use items stolen from pagan temples?	
R	2	26	26	Question		And if the Gentiles obey God's law, won't God declare them to be his own people?	
R	3	21	21	Individual		Moses	
R	3	5	5	Parenthetical		(This is merely a human point of view.)	
R	3	2	2	Exclamation		Yes, there are great benefits!	
R	3	4	4	Exclamation		Of course not!	
R	3	6	6	Exclamation		Of course not!	
R	3	8	8	Exclamation		The more we sin, the better it is!	
R	3	31	31	Exclamation		Of course not!	
R	3	4	4	OldTestament		You will be proved right in what you say, and you will win your case in court.	
R	3	10	12	OldTestament		No one is righteous - not even one. No one is truly wise; no one is seeking God. All have turned away; all have become useless. No one does good, not a single one.	
R	3	13	13	OldTestament		Their talk is foul, like the stench from an open grave. Their tongues are filled with lies.	
R	3	13	13	OldTestament		Snake venom drips from their lips.	
R	3	14	14	OldTestament		Their mouths are full of cursing and bitterness.	
R	3	15	17	OldTestament		They rush to commit murder. Destruction and misery always follow them. They don't know where to find peace.	
R	3	18	18	OldTestament		They have no fear of God at all.	
R	3	1	1	Question		Then what's the advantage of being a Jew?	
R	3	1	1	Question		Is there any value in the ceremony of circumcision?	
R	3	3	3	Question		True, some of them were unfaithful; but just because they were unfaithful, does that mean God will be unfaithful?	
R	3	5	5	Question		Isn't it unfair, then, for him to punish us?	
R	3	6	6	Question		If God were not entirely fair, how would he be qualified to judge the world?	
R	3	7	7	Question		But,{" someone might still argue,{ {"}how can God condemn me as a sinner if my dishonesty highlights his truthfulness and brings him more glory?	
R	3	9	9	Question		Well then, should we conclude that we Jews are better than others?	
R	3	27	27	Question		Can we boast, then, that we have done anything to be accepted by God?	
R	3	29	29	Question		After all, is God the God of the Jews only?	
R	3	29	29	Question		Isn't he also the God of the Gentiles?	
R	3	31	31	Question		Well then, if we emphasize faith, does this mean that we can forget about the law?	
R	4	1	1	Individual		Abraham	
R	4	3	3	Individual		Abraham	
R	4	9	9	Individual		Abraham	
R	4	10	10	Individual		Abraham	
R	4	11	11	Individual		Abraham	
R	4	12	12	Individual		Abraham	
R	4	13	13	Individual		Abraham	
R	4	16	16	Individual		Abraham	
R	4	17	17	Individual		Abraham	
R	4	18	18	Individual		Abraham	
R	4	19	19	Individual		Abraham	
R	4	20	20	Individual		Abraham	
R	4	22	22	Individual		Abraham	
R	4	23	23	Individual		Abraham	
R	4	6	6	Individual		David	
R	4	16	16	Individual		Moses	
R	4	19	19	Individual		Sarah	
R	4	15	15	Parenthetical		(The only way to avoid breaking the law is to have no law to break!)	
R	4	10	10	Exclamation		Clearly, God accepted Abraham before he was circumcised!	
R	4	15	15	Exclamation		The only way to avoid breaking the law is to have no law to break!	
R	4	18	18	Exclamation		That's how many descendants you will have!	
R	4	3	3	OldTestament		Abraham believed God, and God counted him as righteous because of his faith.	
R	4	7	8	OldTestament		Oh, what joy for those whose disobedience is forgiven, whose sins are put out of sight. Yes, what joy for those whose record the LORD has cleared of sin.	
R	4	17	17	OldTestament		I have made you the father of many nations.	
R	4	18	18	OldTestament		That's how many descendants you will have!	
R	4	1	1	Question		What did he discover about being made right with God?	
R	4	9	9	Question		Now, is this blessing only for the Jews, or is it also for uncircumcised Gentiles?	
R	4	10	10	Question		But how did this happen?	
R	4	10	10	Question		Was he counted as righteous only after he was circumcised, or was it before he was circumcised?	
R	5	12	12	Individual		Adam	
R	5	14	14	Individual		Adam	
R	5	15	15	Individual		Adam	
R	5	16	16	Individual		Adam	
R	5	17	17	Individual		Adam	
R	5	18	18	Individual		Adam	
R	5	14	14	Individual		Moses	
R	6	2	2	Exclamation		Of course not!	
R	6	15	15	Exclamation		Of course not!	
R	6	17	17	Exclamation		Thank God!	
R	6	1	1	Question		Well then, should we keep on sinning so that God can show us more and more of his wonderful grace?	
R	6	2	2	Question		Since we have died to sin, how can we continue to live in it?	
R	6	3	3	Question		Or have you forgotten that when we were joined with Christ Jesus in baptism, we joined him in his death?	
R	6	15	15	Question		Well then, since God's grace has set us free from the law, does that mean we can go on sinning?	
R	6	16	16	Question		Don't you realize that you become the slave of whatever you choose to obey?	
R	6	21	21	Question		And what was the result?	
R	7	7	7	Exclamation		Of course not!	
R	7	8	8	Exclamation		But sin used this command to arouse all kinds of covetous desires within me!	
R	7	13	13	Exclamation		Of course not!	
R	7	24	24	Exclamation		Oh, what a miserable person I am!	
R	7	25	25	Exclamation		Thank God!	
